,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
96,Belarus,81,,,,22.0,59,,9.0,
97,Afghanistan,74,,1.0,,1.0,72,,2.0,0.03
98,Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0
99,Ivory Coast,73,,,,2.0,71,,3.0,
100,Kazakhstan,72,,,,,72,,4.0,
101,Georgia,70,,,,9.0,61,1.0,18.0,
102,Cameroon,66,,1.0,,2.0,63,,2.0,0.04
103,Palestine,60,,,,16.0,44,,12.0,
104,Martinique,57,,1.0,,,56,7.0,152.0,3.0
105,Trinidad and Tobago,57,,,,,57,,41.0,
106,Ghana,53,,2.0,,,51,,2.0,0.06
107,Liechtenstein,51,,,,,51,,1338.0,
108,Uzbekistan,50,,,,,50,,1.0,
109,Cuba,48,,1.0,,1.0,46,2.0,4.0,0.09
110,Montenegro,47,,1.0,,,46,,75.0,2.0
111,DRC,45,,2.0,,,43,,0.5,0.02
112,Nigeria,44,,1.0,,2.0,41,,0.2,0.0
113,Mauritius,42,,2.0,,,40,1.0,33.0,2.0
114,Kyrgyzstan,42,,,,,42,,6.0,
115,Rwanda,40,,,,,40,,3.0,
116,Bangladesh,39,,4.0,,5.0,30,,0.2,0.02
117,Puerto Rico,39,,2.0,,1.0,36,,14.0,0.7
118,Paraguay,37,10.0,3.0,1.0,,34,1.0,5.0,0.4
119,Channel Islands,36,,,,,36,,207.0,
120,Honduras,36,6.0,,,,36,,4.0,
121,Mayotte,36,,,,,36,,132.0,
122,Guam,32,,1.0,,,31,,190.0,6.0
123,Bolivia,32,3.0,,,,32,,3.0,
124,Macao,29,,,,10.0,19,,45.0,
125,Jamaica,25,4.0,1.0,,2.0,22,,8.0,0.3
126,French Polynesia,25,,,,,25,,89.0,
127,Kenya,25,,,,,25,,0.5,
128,Monaco,23,,,,1.0,22,,586.0,
129,French Guiana,23,,,,6.0,17,,77.0,
130,Isle of Man,23,,,,,23,,270.0,
131,Guatemala,21,,1.0,,,20,,1.0,0.06
132,Togo,20,,,,1.0,19,,2.0,
133,Barbados,18,,,,,18,,63.0,
134,Aruba,17,,,,1.0,16,,159.0,
135,Madagascar,17,,,,,17,,0.6,
136,U.S. Virgin Islands,17,,,,,17,,163.0,
137,Gibraltar,15,,,,5.0,10,,445.0,
138,Maldives,13,,,,5.0,8,,24.0,
139,Ethiopia,12,,,,,12,,0.1,
140,Tanzania,12,,,,,12,,0.2,
141,Mongolia,10,,,,,10,,3.0,
142,New Caledonia,10,,,,,10,,35.0,
143,Equatorial Guinea,9,,,,,9,,6.0,
144,Uganda,9,,,,,9,,0.2,
145,Saint Martin,8,,,,,8,,207.0,
146,Dominica,7,,,,,7,,97.0,
147,Haiti,7,,,,,7,,0.6,
148,Namibia,7,,,,2.0,5,,3.0,
149,Seychelles,7,,,,,7,,71.0,
150,Suriname,7,,,,,7,,12.0,
151,Cayman Islands,6,,1.0,,,5,,91.0,15.0
152,Curaçao,6,,1.0,,,5,,37.0,6.0
153,Gabon,6,,1.0,,,5,,3.0,0.4
154,Benin,6,,,,,6,,0.5,
155,Bermuda,6,,,,,6,,96.0,
156,Guyana,5,,1.0,,,4,,6.0,1.0
157,Bahamas,5,,,,1.0,4,,13.0,
158,El Salvador,5,,,,,5,,0.8,
159,Greenland,5,,,,2.0,3,,88.0,
160,Congo,4,,,,,4,,0.7,
161,Fiji,4,,,,,4,,4.0,
162,Guinea,4,,,,,4,,0.3,
163,Vatican City,4,,,,,4,,4994.0,
164,Eswatini,4,,,,,4,,3.0,
165,Cabo Verde,3,,1.0,,,2,,5.0,2.0
166,Gambia,3,,1.0,,,2,,1.0,0.4
167,Sudan,3,,1.0,,,2,,0.07,0.02
168,Zimbabwe,3,,1.0,,,2,,0.2,0.07
169,Angola,3,,,,,3,,0.09,
170,Antigua and Barbuda,3,,,,,3,,31.0,
171,CAR,3,,,,,3,,0.6,
172,Chad,3,,,,,3,,0.2,
173,Djibouti,3,,,,,3,,3.0,
174,Liberia,3,,,,,3,,0.6,
175,Mozambique,3,,,,,3,,0.1,
176,Myanmar,3,,,,,3,,0.06,
177,Niger,3,,,,,3,,0.1,
178,St. Barth,3,,,,,3,,304.0,
179,Saint Lucia,3,,,,,3,,16.0,
180,Zambia,3,,,,,3,,0.2,
181,Nepal,2,,,,1.0,1,,0.07,
182,Bhutan,2,,,,,2,,3.0,
183,Laos,2,,,,,2,,0.3,
184,Mauritania,2,,,,,2,,0.4,
185,Nicaragua,2,,,,,2,,0.3,
186,Sint Maarten,2,,,,,2,,47.0,
187,Belize,1,,,,,1,,3.0,
188,Eritrea,1,,,,,1,,0.3,
189,Grenada,1,,,,,1,,9.0,
190,Libya,1,,,,,1,,0.1,
191,Montserrat,1,,,,,1,,200.0,
192,Papua New Guinea,1,,,,,1,,0.1,
193,St. Vincent Grenadines,1,,,,,1,,9.0,
194,Somalia,1,,,,,1,,0.06,
195,Syria,1,,,,,1,,0.06,
196,Timor-Leste,1,,,,,1,,0.8,
197,Turks and Caicos,1,,,,,1,,26.0,
198,Total:,422785,203.0,18903.0,12.0,109102.0,294780,13095.0,54.2,2.4
